target_value,risk,return
0.0017628989672433873,0.04636456687475563,0.0025366540825715617
0.0018569570590842317,0.046364566874762286,0.00253665408257146
0.0019510151509250758,0.04636456687475516,0.0025366540825715682
0.00204507324276592,0.0463645668747522,0.002536654082571615
0.0021391313346067645,0.04636456687475647,0.0025366540825715487
0.0022331894264476086,0.04636456687475112,0.0025366540825716303
0.0023272475182884527,0.04636456687475229,0.0025366540825716125
0.0024213056101292972,0.04636456687476448,0.002536654082571426
0.0025153637019701414,0.04636456687475194,0.002536654082571618
0.0026094217938109855,0.04636456687475793,0.002536654082571526
0.0027034798856518296,0.046364566874751253,0.002536654082571629
0.0027975379774926737,0.046336275556200575,0.002681394161078694
0.0028915960693335183,0.04638891923407842,0.0027754515455598776
0.0029856541611743624,0.046607578091369575,0.0028699008100811305
0.003079712253015207,0.04689365960576821,0.0029168178990810136
0.003173770344856051,0.04747143946051159,0.0030108760055256823
0.003267828436696895,0.04813074728566863,0.0031049340984397704
0.0033618865285377393,0.04881358367950414,0.0031989921936371075
0.0034559446203785834,0.04931978016259687,0.0032368248596900575
0.003550002712219428,0.04940300245510182,0.0032430166371651154
0.003644060804060272,0.05056378688770308,0.0033370697232339777
0.0037381188959011167,0.05094358539709546,0.0033678430700271066
0.0038321769877419608,0.05094358539734629,0.003367843070062047
0.003926235079582805,0.05138770619501377,0.003436281050171018
0.004020293171423649,0.05200639664430645,0.0035303410188119743
0.004114351263264493,0.052896885970237006,0.0036612609524084385
0.004208409355105337,0.052914383369125614,0.0036631548984280304
0.004302467446946182,0.053783348112082324,0.0037572130110975306
0.004396525538787026,0.05465231259811639,0.00385127109595732
0.0044905836306278705,0.055550641619842286,0.0039453291908908075
0.004584641722468715,0.0564902310240566,0.004039387287021354
0.004678699814309559,0.05686636888586699,0.00407398387486956
0.004772757906150403,0.056866368885874506,0.004073983874870251
0.004866815997991247,0.05755966878265005,0.004137752543805896
0.004960874089832092,0.05860652277311723,0.0042318106268437
0.005054932181672936,0.05967684430581778,0.00432586872834731
0.00514899027351378,0.06074716566192188,0.0044199268143319155
0.005243048365354624,0.061817487161649254,0.004513984912937896
0.005337106457195468,0.06288780840191265,0.004608042988742609
0.0054311645490363126,0.06395813010542246,0.004702101105256658
0.005525222640877157,0.06406966473206781,0.004711902585385441
0.005619280732718002,0.06428712580639664,0.004731012708070444
0.005713338824558846,0.06535744736644063,0.004825070811976951
0.00580739691639969,0.06642776873588678,0.004919128899134034
0.005901455008240534,0.06757418043593749,0.0050131869899465355
0.005995513100081378,0.06874902063165578,0.005107245095975175
0.006089571191922222,0.06992386044518012,0.0052013031714052355
0.006183629283763067,0.07121171579126677,0.0052953612536941475
0.006277687375603911,0.07252822975182385,0.005389419351665085
0.0063717454674447555,0.0738447437076907,0.005483477449300931
